"name","Hour","HIGH","Date/Time"
"SHOP","13","440.2049865722656","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"SHOP","14","439.5198974609375","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"SHOP","15","454.1400146484375","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"SHOP","16","363.8500061035156","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"SNAP","09","29.540000915527344","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"SNAP","10","29.440000534057617","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"SNAP","11","29.235000610351562","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"SNAP","12","29.440000534057617","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"SNAP","13","28.969999313354492","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"SNAP","14","29.014999389648438","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"SNAP","15","29.540000915527344","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"SNAP","16","23.260000228881836","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"SQ","09","103.06990051269531","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"SQ","10","103.27899932861328","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"SQ","11","102.43990325927734","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"SQ","12","104.21990203857422","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"SQ","13","102.37000274658203","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"SQ","14","102.9749984741211","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"SQ","15","105.97000122070312","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"SQ","16","83.44000244140625","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
"TTD","09","61.224998474121094","    2022-05-02 09:55:00-04:00
Name: 5, dtype: object"
"TTD","10","61.349998474121094","    2022-05-02 10:55:00-04:00
Name: 17, dtype: object"
"TTD","11","60.63999938964844","    2022-05-02 11:55:00-04:00
Name: 29, dtype: object"
"TTD","12","60.97990036010742","    2022-05-02 12:55:00-04:00
Name: 41, dtype: object"
"TTD","13","59.939998626708984","    2022-05-02 13:55:00-04:00
Name: 53, dtype: object"
"TTD","14","60.279998779296875","    2022-05-02 14:55:00-04:00
Name: 65, dtype: object"
"TTD","15","62.119998931884766","    2022-05-02 15:55:00-04:00
Name: 77, dtype: object"
"TTD","16","52.63999938964844","    2022-05-20 16:00:00-04:00
Name: 78, dtype: object"
